unique_id,ds,y
B073QSR9CC_B00ZE2ANTW_1001410_AMZ_US,2018-02-01,237.0
B073QSR9CC_B01BKTABD0_1010947_AMZ_US,2018-02-01,74.0
B073QSR9CC_B01CT945JG_1002241_AMZ_US,2018-02-01,335.0
B073QSR9CC_B07L63T76G_1031566_AMZ_US,2018-02-01,0.0
B07F5R93F3_B07BMMFKDJ_1024209_AMZ_US,2018-02-01,26.0
B07F5R93F3_B07BMQ5393_1024212_AMZ_US,2018-02-01,23.0
B07F5WDNH2_B07BMQ5393_1024212_AMZ_US,2018-02-01,23.0
B07F5T1N8S_B07BLKR2K6_1024114_AMZ_US,2018-02-01,7.0
B07F5T1N8S_B07BLQ5HRJ_1024112_AMZ_US,2018-02-01,24.5
B08GTMNHVB_B07BLQ5HRJ_1024112_AMZ_US,2018-02-01,24.5
B07F5T1N8S_B07BLR3LC5_1024109_AMZ_US,2018-02-01,39.0
B08GTMNHVB_B07BLR3LC5_1024109_AMZ_US,2018-02-01,39.0
B07F5T1N8S_B07BLTPVNB_1024117_AMZ_US,2018-02-01,47.0
B08GTMNHVB_B07BLTPVNB_1024117_AMZ_US,2018-02-01,47.0
B07F5WDNH2_B07BMNL1YG_1024205_AMZ_US,2018-02-01,12.0
B07FL2S3WD_B077MDH8PP_1020914_AMZ_US,2018-02-01,77.0
B07FL2S3WD_B0783PJHWK_1020912_AMZ_US,2018-02-01,52.0
B0C32Q5MZ6_B0783PJHWK_1020912_AMZ_US,2018-02-01,52.0
B07GDQ4D9P_B07CJJ21P8_1025102_AMZ_US,2018-02-01,84.0
B07GDQ4D9P_B07CK63NWZ_1025101_AMZ_US,2018-02-01,66.5
B07H8P3MLX_B07D8DT8HD_1025685_AMZ_US,2018-02-01,7.0
B07H8P3MLX_B07D8LS3VP_1025669_AMZ_US,2018-02-01,3.0
B07H8P3MLX_B07D8MQ71H_1025670_AMZ_US,2018-02-01,0.0
B07H8P3MLX_B07D8PJQBT_1025694_AMZ_US,2018-02-01,0.0
B07HJGN6FY_B07D8M8JLV_1025666_AMZ_US,2018-02-01,0.0
B07HJGN6FY_B07D8N9RL7_1025672_AMZ_US,2018-02-01,0.0
B08BS2P2DY_B07BGT4WQF_1024049_AMZ_US,2018-02-01,30.0
B08BS2P2DY_B07BGX7WQ6_1024047_AMZ_US,2018-02-01,17.0
B08BS2P2DY_B07BGZSG66_1024046_AMZ_US,2018-02-01,0.0
B08GM32MFD_B073RCVR7T_1016802_AMZ_US,2018-02-01,333.5
B08GM32MFD_B0791B4JCN_1022606_AMZ_US,2018-02-01,69.5
B08GM32MFD_B07F3MDRDQ_1027368_AMZ_US,2018-02-01,22.0
B08GQBG269_B07145ZX76_1000897_AMZ_US,2018-02-01,100.0
B08GQBG269_B0719CBGPH_1000895_AMZ_US,2018-02-01,137.0
B08GQBG269_B071VMCSYB_1009254_AMZ_US,2018-02-01,121.5
B08GS9HS9V_B07XFKK3QR_1036011_AMZ_US,2018-02-01,0.0
B08GS9HS9V_B07XFLBTYP_1036014_AMZ_US,2018-02-01,0.0
B08GS9HS9V_B07XFM2MVP_1036013_AMZ_US,2018-02-01,0.0
B08GS9HS9V_B07XHJWP1D_1036012_AMZ_US,2018-02-01,0.0
B08GTMNHVB_B07BLMFWLB_1024110_AMZ_US,2018-02-01,53.0
B08GTMNHVB_B07BLMLHFL_1024116_AMZ_US,2018-02-01,13.0
B08GTMNHVB_B07BLNQS8Z_1024113_AMZ_US,2018-02-01,19.0
B08GTMNHVB_B07BLTPVN9_1024108_AMZ_US,2018-02-01,33.0
B08GTMNHVB_B07BLTRBVN_1024115_AMZ_US,2018-02-01,7.5
B08GTMNHVB_B07BLV6BZK_1024107_AMZ_US,2018-02-01,35.0
B08H1877JR_B07WZRYY6S_1035889_AMZ_US,2018-02-01,0.0
B08H1877JR_B07X2WH2QW_1035883_AMZ_US,2018-02-01,0.0
B08H1877JR_B07X2WHJTQ_1035884_AMZ_US,2018-02-01,0.0
B08H1877JR_B07X5YK4CV_1035885_AMZ_US,2018-02-01,0.0
B08HMQDFMP_B07R4X47TF_1033323_AMZ_US,2018-02-01,0.0
B08HMQDFMP_B07R51XGVZ_1033324_AMZ_US,2018-02-01,0.0
B08P18CP3V_B01M6CJZU2_1001206_AMZ_US,2018-02-01,548.0
B08P18CP3V_B07CJ9MBL4_1025109_AMZ_US,2018-02-01,127.0
B08P18CP3V_B07CJJN3PM_1025110_AMZ_US,2018-02-01,92.0
B08P18CP3V_B07CJZS231_1025068_AMZ_US,2018-02-01,102.5
B08P18CP3V_B098D8QZNY_1280819_AMZ_US,2018-02-01,0.0
B08RZ4GK8N_B07MQDXKTY_1344602_AMZ_US,2018-02-01,0.0
B08RZ4GK8N_B07QHT87CG_1344604_AMZ_US,2018-02-01,0.0
B08RZ4GK8N_B09F5T2FGT_1344606_AMZ_US,2018-02-01,0.0
B08ZY68L3W_B08PFC282X_1273608_AMZ_US,2018-02-01,0.0
B08ZY68L3W_B08PFCJX65_1273607_AMZ_US,2018-02-01,0.0
B08ZY68L3W_B09721GYYS_1280086_AMZ_US,2018-02-01,0.0
B0921P93HQ_B08FLFM991_1045169_AMZ_US,2018-02-01,0.0
B0921P93HQ_B08FM4LP81_1045168_AMZ_US,2018-02-01,0.0
B09337L3QH_B07CV7Y8JD_1025329_AMZ_US,2018-02-01,17.0
B09337L3QH_B07CV8327F_1025330_AMZ_US,2018-02-01,52.0
B094MM71HB_B08DCLTGDT_1044330_AMZ_US,2018-02-01,0.0
B094MM71HB_B08DCQHCYB_1044328_AMZ_US,2018-02-01,0.0
B094MM71HB_B096K3L69P_1279864_AMZ_US,2018-02-01,0.0
B0969CQ71Q_B07HMRZYB5_1030124_AMZ_US,2018-02-01,0.0
B0969CQ71Q_B0861XCG6Y_1040206_AMZ_US,2018-02-01,0.0
B0971S3H7H_B07T58CS4R_1034552_AMZ_US,2018-02-01,0.0
B0BYDPVT4F_B07T58CS4R_1034552_AMZ_US,2018-02-01,0.0
B0971S3H7H_B07T7FKT4Z_1034551_AMZ_US,2018-02-01,0.0
B0BYDPVT4F_B07T7FKT4Z_1034551_AMZ_US,2018-02-01,0.0
B09B74XSMF_B085H9HKPD_1039765_AMZ_US,2018-02-01,0.0
B09B74XSMF_B085HK8WTV_1039766_AMZ_US,2018-02-01,0.0
B09B74XSMF_B085HM27DR_1039764_AMZ_US,2018-02-01,0.0
B09B74XSMF_B08XX3M23Y_1274811_AMZ_US,2018-02-01,0.0
B09BFXD1GK_B08YN5NQZ8_1275333_AMZ_US,2018-02-01,0.0
B09BFXD1GK_B08YNMV5HP_1275334_AMZ_US,2018-02-01,0.0
B09FF6BLZM_B095BF9L3T_1279305_AMZ_US,2018-02-01,0.0
B09FF6BLZM_B095BP4H4P_1279306_AMZ_US,2018-02-01,0.0
B09FF6BLZM_B095BPZQX8_1279307_AMZ_US,2018-02-01,0.0
B09FF6BLZM_B095BTDF83_1279309_AMZ_US,2018-02-01,0.0
B09FF6BLZM_B095BX9935_1279308_AMZ_US,2018-02-01,0.0
B09FG3VGKP_B084P8P8QR_1039307_AMZ_US,2018-02-01,0.0
B0C2CJFZB1_B084P8P8QR_1039307_AMZ_US,2018-02-01,0.0
B09FG3VGKP_B084PG27RF_1039308_AMZ_US,2018-02-01,0.0
B0C2CJFZB1_B084PG27RF_1039308_AMZ_US,2018-02-01,0.0
B09HC7T98K_B0952LDRPZ_1279249_AMZ_US,2018-02-01,0.0
B09HC7T98K_B0952LR5YS_1279250_AMZ_US,2018-02-01,0.0
B09HCDTGK4_B094MYSJ6D_1278520_AMZ_US,2018-02-01,0.0
B09HCDTGK4_B094MZ6MSL_1278519_AMZ_US,2018-02-01,0.0
B09HCDTGK4_B094MZRY4K_1278522_AMZ_US,2018-02-01,0.0
B09KGZNYHS_B09229DWP7_1276902_AMZ_US,2018-02-01,0.0
B09KGZNYHS_B0922FTRCW_1276905_AMZ_US,2018-02-01,0.0
B09KGZNYHS_B0922FVC1D_1276910_AMZ_US,2018-02-01,0.0
B09KXLG1RT_B092H569WW_1277261_AMZ_US,2018-02-01,0.0
B09KXLG1RT_B092HGRDRV_1277258_AMZ_US,2018-02-01,0.0
B09KXLMTNZ_B089NJ337H_1042662_AMZ_US,2018-02-01,0.0
B09KXLMTNZ_B093B2PMT8_1277668_AMZ_US,2018-02-01,0.0
B09L46DX51_B08QTTTC2R_1273783_AMZ_US,2018-02-01,0.0
B09L46DX51_B08QTZCWRP_1273782_AMZ_US,2018-02-01,0.0
B09LHJ5CGB_B083GCBKBF_1038739_AMZ_US,2018-02-01,0.0
B09LHJ5CGB_B083GCPYB1_1038735_AMZ_US,2018-02-01,0.0
B09LHJ5CGB_B083GCS6GF_1038738_AMZ_US,2018-02-01,0.0
B09LHLXZXF_B097CTZTJR_1280361_AMZ_US,2018-02-01,0.0
B09LHLXZXF_B097CW2SY8_1280362_AMZ_US,2018-02-01,0.0
B09M3JBTHC_B092H1MSCJ_1277257_AMZ_US,2018-02-01,0.0
B09M3JBTHC_B092H26FBH_1277254_AMZ_US,2018-02-01,0.0
B09M3JBTHC_B092HPG95F_1277256_AMZ_US,2018-02-01,0.0
B09M3JBTHC_B092HVSB7P_1277255_AMZ_US,2018-02-01,0.0
B09M3KDHXY_B092HQ5KGS_1277239_AMZ_US,2018-02-01,0.0
B09M3KDHXY_B092HSM5VG_1277238_AMZ_US,2018-02-01,0.0
