unique_id,ds,cutoff,NHITS,NBEATS,PatchTST,TFT,Informer,TimesNet,cluster,y_
1000895,2023/11/30,2023/10/31,364.84982,331.52448,393.56598,332.6847,4.6527305,351.7603,,197
1000895,2023/12/31,2023/10/31,299.59457,238.6407,376.5424,330.08496,6.349809,345.22974,,209
1000895,2024/1/31,2023/10/31,283.89288,224.37605,350.56525,324.8117,6.3616977,376.63605,,209
1000897,2023/11/30,2023/10/31,287.6794,297.97812,311.2687,303.62067,5.121595,278.8011,,286
1000897,2023/12/31,2023/10/31,255.72743,258.94763,289.78113,300.60794,5.8902416,327.16827,,310
1000897,2024/1/31,2023/10/31,244.50743,241.30058,308.42407,297.61813,6.323503,215.61613,,352
1000937,2023/11/30,2023/10/31,137.5631,148.15196,134.82364,141.57164,6.0877995,109.48525,,74
1000937,2023/12/31,2023/10/31,142.2625,151.16502,127.234436,141.11172,5.8314238,129.8522,,91
1000937,2024/1/31,2023/10/31,148.00148,153.8352,163.70314,141.22398,6.169904,118.84239,,77
1000973,2023/11/30,2023/10/31,377.60278,403.53903,359.07156,410.9087,5.498218,329.99127,,410
1000973,2023/12/31,2023/10/31,379.6153,422.24533,471.9735,413.74054,6.1884027,371.29593,,306
1000973,2024/1/31,2023/10/31,388.57178,421.82755,428.91547,415.44806,6.1391263,572.3716,,270
1001126,2023/11/30,2023/10/31,23.839832,28.236076,30.533737,47.757965,5.896038,47.040802,,12
1001126,2023/12/31,2023/10/31,27.031195,26.345762,31.992018,49.885536,6.03031,58.355576,,39
1001126,2024/1/31,2023/10/31,29.169098,29.565681,41.083702,51.85802,6.1550665,-9.924149,,40
1001206,2023/11/30,2023/10/31,258.56448,257.90094,266.1145,284.19745,5.3993616,362.51218,,336
1001206,2023/12/31,2023/10/31,269.4932,247.33139,312.74133,281.8589,5.7931385,342.45856,,254
1001206,2024/1/31,2023/10/31,275.68436,235.94737,275.9601,281.17413,6.097077,281.7397,,271.5
1001318,2023/11/30,2023/10/31,711.0074,908.2816,853.17664,1055.1077,6.097909,1041.3652,,829
1001318,2023/12/31,2023/10/31,783.3144,1066.2239,1192.3025,1087.5857,6.217216,1160.3641,,828
1001318,2024/1/31,2023/10/31,797.0585,1201.6316,808.8688,1117.331,6.100465,1469.2426,,681
1001319,2023/11/30,2023/10/31,478.64896,447.0755,531.38556,500.62665,4.726009,346.61188,,703
1001319,2023/12/31,2023/10/31,377.11624,326.8869,478.30713,471.8554,6.341409,302.42758,,439
1001319,2024/1/31,2023/10/31,351.9277,307.61456,452.8816,455.92407,6.13699,557.023,,207
1001330,2023/11/30,2023/10/31,459.8108,354.73737,489.04834,167.97568,4.637329,362.01035,,213
1001330,2023/12/31,2023/10/31,353.79364,144.85657,347.1992,168.4702,5.9619646,330.3131,,137
1001330,2024/1/31,2023/10/31,333.8752,150.67126,389.59973,168.53726,5.9684954,296.15186,,137
1001331,2023/11/30,2023/10/31,331.84036,248.43878,384.93265,184.26768,4.6412063,262.2559,,247
1001331,2023/12/31,2023/10/31,243.16502,83.38983,282.88934,183.55074,6.186217,180.11215,,54
1001331,2024/1/31,2023/10/31,224.4513,86.833405,266.48206,182.00769,6.1630445,201.25435,,45
1001369,2023/11/30,2023/10/31,244.18376,275.84406,272.22943,282.4786,5.9272857,275.893,,121
1001369,2023/12/31,2023/10/31,231.7959,265.90125,272.40012,283.19077,5.898458,254.71997,,286
1001369,2024/1/31,2023/10/31,226.46164,248.15515,255.13684,283.6696,6.1324744,277.8012,,96
1001370,2023/11/30,2023/10/31,478.92383,469.49585,527.185,537.66956,5.9245014,459.1953,,206
1001370,2023/12/31,2023/10/31,432.6989,381.78128,499.67972,520.7473,5.732279,458.31488,,352
