product_id,LGBMRegressor,XGBRegressor,LinearRegression,AutoETS,AutoARIMA,y,NP,NHITS,NBEATS,PatchTST,TFT,TimesNet
1016802 ,14586 ,11387 ,12660 ,14787 ,10703 ,15698 ,10375 ,9177 ,10688 ,11520 ,11360 ,11671 
1026132 ,5020 ,4892 ,7392 ,8539 ,7505 ,6604 ,7196 ,7962 ,8237 ,7053 ,8955 ,10700 
1011186 ,4027 ,4966 ,4670 ,4530 ,4921 ,6141 ,4400 ,4102 ,4517 ,5559 ,4811 ,4700 
1020912 ,4546 ,4897 ,4940 ,4908 ,4283 ,4888 ,3864 ,4000 ,4699 ,4790 ,4911 ,4172 
1025670 ,2846 ,2796 ,2806 ,3577 ,3568 ,3385 ,2909 ,3388 ,3440 ,3199 ,3396 ,4349 
1027350 ,2181 ,2963 ,2944 ,3290 ,3190 ,3274 ,2891 ,3071 ,3469 ,3484 ,3264 ,2929 
1332669 ,1400 ,1768 ,1806 ,1889 ,1890 ,2597 ,1591 ,1898 ,1817 ,1931 ,1955 ,2497 
1024117 ,2593 ,2473 ,4433 ,2186 ,2934 ,2508 ,3060 ,3134 ,3169 ,2349 ,4844 ,5254 
1024212 ,1818 ,1101 ,2476 ,1231 ,1082 ,2444 ,1804 ,1565 ,1614 ,1328 ,1584 ,2809 
1034003 ,2552 ,3079 ,2733 ,2819 ,2470 ,2426 ,2470 ,2295 ,2606 ,2931 ,3043 ,2921 
1001318 ,3125 ,3341 ,4835 ,1564 ,2403 ,2338 ,2032 ,2052 ,2975 ,1499 ,2729 ,5343 
1039307 ,3744 ,3502 ,3552 ,3291 ,2498 ,2324 ,3384 ,504 ,2779 ,2690 ,3506 ,5206 
1034551 ,3527 ,3459 ,3528 ,3051 ,2962 ,2080 ,2836 ,2851 ,3217 ,3437 ,3376 ,3452 
1037829 ,1130 ,757 ,1545 ,1570 ,1216 ,2075 ,1238 ,1161 ,890 ,1589 ,1006 ,1335 
1039308 ,2457 ,2228 ,2770 ,3421 ,2818 ,1792 ,2468 ,815 ,2812 ,2752 ,3111 ,4656 
1031566 ,1912 ,2731 ,2884 ,2219 ,1812 ,1623 ,2099 ,2027 ,2291 ,2122 ,2684 ,3647 
1024110 ,1561 ,1907 ,2603 ,2217 ,2428 ,1617 ,2065 ,1789 ,1882 ,1424 ,3256 ,4157 
1024109 ,2465 ,2093 ,3514 ,2042 ,2798 ,1612 ,2520 ,2483 ,2553 ,1991 ,3977 ,3133 
1026130 ,1382 ,1500 ,1501 ,1330 ,1271 ,1612 ,1132 ,1017 ,1241 ,1192 ,1282 ,1510 
1025542 ,1005 ,862 ,1030 ,1130 ,748 ,1605 ,988 ,807 ,816 ,1054 ,973 ,1147 
1332619 ,656 ,692 ,1060 ,619 ,612 ,1520 ,652 ,705 ,775 ,615 ,730 ,1064 
1020913 ,1152 ,1155 ,1476 ,857 ,1267 ,1517 ,1115 ,1118 ,1308 ,1272 ,1499 ,1396 
1044019 ,881 ,826 ,845 ,1518 ,1418 ,1433 ,1041 ,954 ,999 ,924 ,1002 ,1765 
1034004 ,983 ,945 ,1225 ,1523 ,1604 ,1423 ,1363 ,1395 ,1452 ,1394 ,1363 ,1838 
1024112 ,1341 ,1303 ,1998 ,1355 ,1057 ,1368 ,1672 ,1404 ,1445 ,1101 ,2324 ,2366 
1001319 ,1728 ,1451 ,1975 ,1891 ,1109 ,1349 ,1173 ,1160 ,1212 ,1497 ,1392 ,1328 
1034552 ,1962 ,1865 ,2052 ,1924 ,1745 ,1276 ,1800 ,1871 ,1956 ,2035 ,2134 ,2165 
1039264 ,1224 ,1261 ,1288 ,1495 ,1207 ,1262 ,1111 ,992 ,1099 ,1331 ,1193 ,1211 
1025669 ,1303 ,1300 ,1580 ,1484 ,1356 ,1236 ,1247 ,1514 ,1806 ,1408 ,1437 ,1656 
1030124 ,1140 ,1099 ,1797 ,1891 ,1888 ,1210 ,1624 ,1727 ,1885 ,1786 ,2039 ,2285 
1020134 ,1224 ,990 ,1634 ,1837 ,1840 ,1157 ,1298 ,1422 ,1474 ,1752 ,1687 ,1529 
1024108 ,735 ,703 ,946 ,866 ,922 ,1146 ,791 ,826 ,831 ,730 ,971 ,1130 
1332652 ,591 ,400 ,745 ,498 ,496 ,1102 ,467 ,640 ,658 ,522 ,553 ,895 
1024107 ,551 ,486 ,715 ,575 ,619 ,1075 ,442 ,671 ,641 ,465 ,510 ,726 
1332620 ,921 ,995 ,1499 ,1284 ,974 ,1074 ,1204 ,1272 ,1304 ,890 ,1490 ,2464 
1035889 ,1030 ,1309 ,1408 ,1637 ,1684 ,1049 ,1397 ,1242 ,1465 ,1661 ,1409 ,1074 
1034002 ,1144 ,944 ,1347 ,1557 ,1861 ,1048 ,1269 ,956 ,1259 ,1202 ,1486 ,1497 
1031023 ,973 ,908 ,938 ,1279 ,1276 ,1020 ,978 ,1025 ,1060 ,1024 ,1233 ,1451 
1010947 ,881 ,646 ,1071 ,1144 ,1110 ,949 ,617 ,649 ,760 ,715 ,865 ,1402 
1000897 ,831 ,796 ,977 ,1061 ,821 ,948 ,772 ,753 ,865 ,936 ,876 ,799 
1019130 ,1104 ,1397 ,1755 ,1315 ,1584 ,933 ,1095 ,1462 ,1709 ,2110 ,1651 ,2020 
1001410 ,1184 ,1170 ,1349 ,702 ,980 ,932 ,998 ,804 ,872 ,1067 ,1043 ,1045 
1332639 ,742 ,650 ,932 ,856 ,1074 ,924 ,873 ,819 ,807 ,834 ,1261 ,1441 
1037509 ,417 ,413 ,449 ,539 ,484 ,907 ,323 ,441 ,474 ,382 ,424 ,778 
1029322 ,1244 ,1279 ,1309 ,1130 ,1239 ,856 ,1101 ,1049 ,1041 ,1391 ,1259 ,1095 
1277730 ,588 ,634 ,632 ,712 ,681 ,849 ,596 ,549 ,614 ,653 ,580 ,588 
1009254 ,931 ,1032 ,1030 ,740 ,736 ,836 ,736 ,712 ,904 ,815 ,886 ,786 
1026213 ,897 ,715 ,1113 ,908 ,743 ,833 ,901 ,960 ,1077 ,825 ,1429 ,1417 
1278993 ,806 ,686 ,923 ,934 ,922 ,829 ,900 ,888 ,929 ,1070 ,859 ,1009 
1025543 ,486 ,502 ,516 ,439 ,448 ,820 ,479 ,366 ,384 ,442 ,471 ,593 
1039716 ,715 ,601 ,781 ,861 ,725 ,801 ,856 ,715 ,828 ,846 ,895 ,786 
1028356 ,840 ,1118 ,1635 ,510 ,1054 ,800 ,1281 ,1204 ,1269 ,667 ,2251 ,1764 
1026107 ,896 ,842 ,967 ,772 ,956 ,788 ,857 ,751 ,808 ,633 ,911 ,1190 
1009244 ,559 ,626 ,590 ,726 ,683 ,775 ,738 ,641 ,631 ,598 ,517 ,801 
1018138 ,840 ,851 ,1322 ,1915 ,2060 ,773 ,1308 ,1173 ,1110 ,937 ,1224 ,1752 
1033323 ,997 ,1612 ,1059 ,905 ,973 ,755 ,984 ,975 ,1061 ,1067 ,1140 ,1168 
1332674 ,539 ,476 ,619 ,536 ,512 ,722 ,555 ,592 ,616 ,540 ,774 ,742 
1039258 ,557 ,625 ,591 ,538 ,531 ,709 ,483 ,502 ,558 ,568 ,548 ,552 
1274811 ,494 ,472 ,531 ,687 ,688 ,695 ,467 ,486 ,570 ,594 ,552 ,706 
1020133 ,532 ,418 ,609 ,700 ,690 ,684 ,766 ,597 ,629 ,624 ,715 ,782 
1036951 ,680 ,681 ,719 ,743 ,815 ,664 ,726 ,786 ,831 ,832 ,722 ,799 
1037502 ,678 ,544 ,729 ,787 ,769 ,647 ,718 ,719 ,784 ,733 ,767 ,993 
1024116 ,805 ,708 ,925 ,1115 ,983 ,639 ,882 ,890 ,878 ,799 ,1103 ,1413 
1026138 ,624 ,637 ,849 ,590 ,579 ,623 ,609 ,600 ,641 ,641 ,737 ,825 
1026137 ,763 ,730 ,889 ,839 ,830 ,616 ,792 ,830 ,884 ,910 ,897 ,855 
1332638 ,533 ,477 ,631 ,595 ,582 ,612 ,626 ,565 ,596 ,541 ,714 ,746 
1022606 ,505 ,503 ,589 ,471 ,401 ,570 ,423 ,413 ,479 ,430 ,463 ,401 
1034554 ,619 ,658 ,712 ,566 ,566 ,568 ,603 ,609 ,671 ,657 ,637 ,651 
1275853 ,519 ,544 ,610 ,710 ,716 ,563 ,625 ,694 ,697 ,723 ,701 ,847 
1026134 ,554 ,622 ,633 ,757 ,630 ,553 ,673 ,604 ,664 ,709 ,700 ,790 
1275854 ,498 ,469 ,579 ,693 ,694 ,546 ,569 ,636 ,627 ,646 ,593 ,763 
1020914 ,637 ,432 ,889 ,597 ,568 ,545 ,630 ,550 ,607 ,594 ,698 ,580 
1045200 ,508 ,419 ,534 ,595 ,587 ,542 ,504 ,474 ,609 ,513 ,554 ,763 
1278566 ,647 ,668 ,676 ,699 ,807 ,536 ,621 ,713 ,729 ,723 ,734 ,844 
1275856 ,432 ,433 ,491 ,584 ,526 ,532 ,523 ,516 ,510 ,486 ,526 ,658 
1332477 ,337 ,299 ,332 ,326 ,330 ,530 ,300 ,297 ,312 ,336 ,316 ,357 
1035566 ,464 ,392 ,537 ,481 ,451 ,513 ,540 ,427 ,477 ,460 ,484 ,588 
1024113 ,446 ,311 ,620 ,472 ,379 ,509 ,503 ,475 ,482 ,379 ,720 ,725 
1279747 ,539 ,623 ,573 ,556 ,556 ,。。,555 ,575 ,614 ,627 ,640 ,600 
1039204 ,535 ,627 ,566 ,501 ,540 ,482 ,467 ,439 ,547 ,513 ,525 ,549 
